Reg	Orden	Hogar	Fex_c	P37	Valor38	P39	P40	P41	P42	P43	P44	P45	P46a	P46b	P46c	P46d	P46e	P46f	P46g	P46h	P46i	P46j	P47	P48	Llave_viv	Llave_hog	Fex_c_2011
62	03	01	1895.2763137	2			1	07	2	1	1			1					1				2	1	200601300161	20060130016101	1943.58641712698
62	01	01	1908.1205137	2			2					2													200601300162	20060130016201	1920.35007952104
62	02	01	1908.1205137	2			2					2													200601300162	20060130016201	1920.35007952104
62	03	01	1908.1205137	2			1	45	2	1	2														200601300162	20060130016201	1920.35007952104
62	03	01	1847.116961	2			2					1		1					1				2	1	200601300164	20060130016401	1846.76039038685
62	04	01	1847.116961	2			1	16	1	1	1			1					1				2	1	200601300164	20060130016401	1846.76039038685
62	05	01	1847.116961	2			2					1	1	1					1				1	1	200601300164	20060130016401	1846.76039038685
62	01	01	1915.6927819	2			1	24	1	1	1			1						1			2	1	200601300165	20060130016501	1920.83242533792
62	02	01	1915.6927819	2			1	10	2	1	2														200601300165	20060130016501	1920.83242533792
62	01	01	2448.3252731	2			2					1		1		1							1	1	200601300166	20060130016601	2452.90760902534
62	02	01	2448.3252731	2			2					1		1		1							1	1	200601300166	20060130016601	2452.90760902534
62	03	01	2448.3252731	2			2					1	1	1									1	1	200601300166	20060130016601	2452.90760902534
62	04	01	2448.3252731	2			2					1		1									1	1	200601300166	20060130016601	2452.90760902534
62	01	01	2676.025102	2			1	16	2	2	2														200601300167	20060130016701	2656.03720404509
62	02	01	2676.025102	2			2					1		1									2	1	200601300167	20060130016701	2656.03720404509
62	02	01	2489.0095407	2			2					2													200601300168	20060130016801	2521.04817527823
62	01	01	2832.6517929	2			1	06	2	1	1			1									2	1	200601300169	20060130016901	2820.22215624569
62	02	01	2832.6517929	2			2					2													200601300169	20060130016901	2820.22215624569
62	01	01	2654.7554427	2			1	15	2	1	1			1		1							2	1	200601300170	20060130017001	2668.35114786103
62	02	01	2654.7554427	2			1	40	2	2	1			1		1							2	1	200601300170	20060130017001	2668.35114786103
62	01	01	3434.5456573	2			2					2													200601300171	20060130017101	3454.40503948511
62	01	01	3394.5601602	2			2					2													200601300172	20060130017201	3359.74155157338
62	01	01	2791.0580187	2			2					2													200601300173	20060130017301	2765.54865128649
62	02	01	2791.0580187	2			2					2													200601300173	20060130017301	2765.54865128649
62	01	01	3114.9094323	2			2					2													200601300174	20060130017401	3101.6737416033
62	03	01	3114.9094323	2			2					1	1	1									2	1	200601300174	20060130017401	3101.6737416033
62	06	01	3114.9094323	2			2					2													200601300174	20060130017401	3101.6737416033
62	01	01	3747.8527211	2			2					2													200601300177	20060130017701	3857.24151775343
62	02	01	3747.8527211	2			2					2													200601300177	20060130017701	3857.24151775343
62	05	01	3747.8527211	2			2					1	1							1			2	1	200601300177	20060130017701	3857.24151775343
62	02	01	3324.7619324	2			1	24	1	1	1			1					1				2	2	200601300178	20060130017801	3366.14642144123
62	03	01	2140.6387609	2			2					2													200601300179	20060130017901	2165.59036015768
62	01	01	3181.7601847	2			2					2													200601300180	20060130018001	3179.82645448198
62	01	01	3812.2542566	2			2					2													200601300182	20060130018201	3805.38620207091
62	01	01	3299.9001514	2			1	48	2	1	1			1		1							2	1	200601300183	20060130018301	3315.89446465716
62	01	01	3469.9086476	2			2					2													200601300184	20060130018401	3469.90783092778
62	02	01	3469.9086476	2			1	05	2	1	1			1									2	1	200601300184	20060130018401	3469.90783092778
62	01	01	2795.8656146	1	0	14	2					2													200601300185	20060130018501	2789.83259507136
62	01	01	3192.5647145	2			2					2													200601300186	20060130018601	3230.06819729618
62	03	01	3192.5647145	1	20000	30	1	24	2	2	1			1									2	2	200601300186	20060130018601	3230.06819729618
62	01	01	2707.8674583	2			2					2													200601300187	20060130018701	2713.22830911854
62	01	01	2982.5965371	1	0	24	2					2													200601300188	20060130018801	3016.40278363686
62	02	01	2543.9847939	2			2					1		1					1				2	2	200601300189	20060130018901	2555.54511320091
62	01	01	1565.1080273	2			2					1		1									2	1	200601300190	20060130019001	1563.98865382583
62	03	01	1565.1080273	2			2					2													200601300190	20060130019001	1563.98865382583
62	01	01	1131.0499126	2			2					2													200601300191	20060130019101	1138.78044070158
62	01	01	1377.0246976	1	50000	10	2					2													200601300192	20060130019201	1377.32507107594
62	02	01	1377.0246976	2			2					2													200601300192	20060130019201	1377.32507107594
62	01	01	1454.9745678	1	45000	6	2					1		1									2	1	200601300193	20060130019301	1455.7504579545
62	02	01	1454.9745678	2			2					2													200601300193	20060130019301	1455.7504579545
62	01	01	1400.7917242	2			2					2													200601300194	20060130019401	1410.96747472798
62	01	01	1460.352696	1	300000	10	2					2													200601300195	20060130019501	1463.91203004575
62	02	01	1460.352696	2			2					2													200601300195	20060130019501	1463.91203004575
62	01	01	1670.5913751	2			1	20	2	1	2														200601300196	20060130019601	1658.67722686436
62	02	01	1670.5913751	2			1	20	2	2	2														200601300196	20060130019601	1658.67722686436
62	01	01	1535.6915496	2			2					1							1				2	2	200601300197	20060130019701	1534.82235079617
62	01	01	881.40091916	2			2					2													200601300198	20060130019801	888.612148497266
62	02	01	881.40091916	2			2					2													200601300198	20060130019801	888.612148497266
62	03	01	1068.004412	2			1	20	2	1	1			1									2	1	200601300199	20060130019901	1083.27319286916
62	01	01	979.89294324	2			2					2													200601300201	20060130020101	980.415487967996
62	02	01	979.89294324	2			1	10	2	2	2														200601300201	20060130020101	980.415487967996
62	01	01	883.28571364	2			2					2													200601300202	20060130020201	889.819056076506
