Reg	Orden	Hogar	Area	Fex_c	P3	P4	P5	P6	P7	P8	Pn8a	Pn8b	P9	P10	P10n	P10u	Llave_viv	Llave_hog	Fex_c_2011
10	04	01	05	725.30371302	03	1	7	5	1	1			1	301	3	1	200601100051	20060110005101	722.377899240471
10	05	01	05	725.30371302	03	2	3	5									200601100051	20060110005101	722.377899240471
10	06	01	05	725.30371302	06	2	73	3	1	2	2	11		305	3	5	200601100051	20060110005101	722.377899240471
10	01	01	05	815.71639678	01	1	27	1	1	2	2	01		611	6	11	200601100052	20060110005201	817.327099442875
10	02	01	05	815.71639678	02	2	32	1	1	2	2	07		611	6	11	200601100052	20060110005201	817.327099442875
10	03	01	05	815.71639678	03	1	13	5	1	1			1	406	4	6	200601100052	20060110005201	817.327099442875
10	04	01	05	815.71639678	03	2	6	5	2	1			1	300	3	0	200601100052	20060110005201	817.327099442875
10	05	01	05	815.71639678	08	1	22	5	1	2	2	02		611	6	11	200601100052	20060110005201	817.327099442875
10	01	01	05	903.20876495	01	1	61	2	1	2	2	11		302	3	2	200601100053	20060110005301	905.833949576742
10	02	01	05	903.20876495	02	2	50	2	1	2	2	11		302	3	2	200601100053	20060110005301	905.833949576742
10	03	01	05	903.20876495	03	1	27	5	1	2	2	02		611	6	11	200601100053	20060110005301	905.833949576742
10	04	01	05	903.20876495	03	1	23	5	1	1			2	504	5	4	200601100053	20060110005301	905.833949576742
10	05	01	05	903.20876495	03	1	18	5	1	1			1	407	4	7	200601100053	20060110005301	905.833949576742
10	01	01	05	718.46242445	01	2	47	4	2	2	2	01		100	1	0	200601100054	20060110005401	720.115880685632
10	02	01	05	718.46242445	03	1	16	5	1	1			1	409	4	9	200601100054	20060110005401	720.115880685632
10	03	01	05	718.46242445	03	2	14	5	1	1			1	408	4	8	200601100054	20060110005401	720.115880685632
10	04	01	05	718.46242445	08	1	60	4	1	2	2	11		406	4	6	200601100054	20060110005401	720.115880685632
10	01	01	05	783.83310608	01	1	48	1	2	2	2	02		100	1	0	200601100055	20060110005501	783.822797761334
10	02	01	05	783.83310608	02	2	38	1	1	2	2	07		302	3	2	200601100055	20060110005501	783.822797761334
10	03	01	05	783.83310608	03	2	15	5	1	2	2	02		305	3	5	200601100055	20060110005501	783.822797761334
10	04	01	05	783.83310608	03	1	13	5	1	1			1	400	4	0	200601100055	20060110005501	783.822797761334
10	05	01	05	783.83310608	03	1	10	5	1	1			1	301	3	1	200601100055	20060110005501	783.822797761334
10	06	01	05	783.83310608	03	1	2	5									200601100055	20060110005501	783.822797761334
10	07	01	05	783.83310608	06	2	70	4	2	2	2	11		100	1	0	200601100055	20060110005501	783.822797761334
10	08	01	05	783.83310608	08	1	34	5	2	2	2	11		100	1	0	200601100055	20060110005501	783.822797761334
10	01	01	05	1028.4045804	01	2	65	4	1	2	2	11		302	3	2	200601100056	20060110005601	1026.89780109964
10	02	01	05	1028.4045804	09	1	65	4	1	2	2	11		302	3	2	200601100056	20060110005601	1026.89780109964
10	03	01	05	1028.4045804	03	1	43	5	1	2	2	06		305	3	5	200601100056	20060110005601	1026.89780109964
10	04	01	05	1028.4045804	03	1	30	5	1	2	2	06		611	6	11	200601100056	20060110005601	1026.89780109964
10	01	02	05	1028.4045804	01	1	25	2	1	2	2	01		302	3	2	200601100056	20060110005602	1026.89780109964
10	02	02	05	1028.4045804	02	2	35	2	1	2	2	07		305	3	5	200601100056	20060110005602	1026.89780109964
10	03	02	05	1028.4045804	03	1	6	5	2	1			1	300	3	0	200601100056	20060110005602	1026.89780109964
10	04	02	05	1028.4045804	03	2	0	5									200601100056	20060110005602	1026.89780109964
10	01	01	05	708.36633549	01	2	58	4	1	2	2	11		302	3	2	200601100057	20060110005701	711.331926579793
10	02	01	05	708.36633549	03	2	38	5	1	2	2	02		305	3	5	200601100057	20060110005701	711.331926579793
