Reg	Orden	Hogar	Area	Fex_c	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	Llave_viv	Llave_hog	Fex_c_2011
50	05	01	05	796.60816246	2	1												200601100102	20060110010201	796.449828668828
50	01	01	05	766.53749997	2	1												200601100103	20060110010301	765.631157804212
50	02	01	05	766.53749997	2	4	1											200601100103	20060110010301	765.631157804212
50	01	01	05	726.60128746	3	4	2	2	2	2	2							200601100104	20060110010401	726.09076394725
50	02	01	05	726.60128746	3	5	2	2	2	2	2							200601100104	20060110010401	726.09076394725
50	03	01	05	726.60128746	3	1												200601100104	20060110010401	726.09076394725
50	04	01	05	726.60128746	3	1												200601100104	20060110010401	726.09076394725
50	01	01	05	713.6827837	2	1												200601100105	20060110010501	714.996019872052
50	02	01	05	713.6827837	2	3	2	2	2	2	2							200601100105	20060110010501	714.996019872052
50	01	01	05	767.80351943	2	1												200601100106	20060110010601	768.174549057293
50	02	01	05	767.80351943	2	4	2	2	2	1							1	200601100106	20060110010601	768.174549057293
50	03	01	05	767.80351943	2	3	2	2	2	2	2							200601100106	20060110010601	768.174549057293
